candidate,impot,sante,defense,economie,bilan,immigration,etranger,enseignement
valls,0.66,1.11,1.84,2.29,1.23,0.58,0.79,4.00
hamon,1.06,1.05,1.70,2.31,0.86,1.08,0.88,4.00
